step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
258,main_green,main_green,56,198.0,9.25811330593922,11,2,2,0.0,2.0,12.0,20.0
259,main_green,main_green,55,209.0,9.386502572013256,11,2,2,0.0,2.0,12.0,20.0
260,main_green,main_green,54,220.0,9.027580127117753,12,2,2,0.0,2.0,12.0,20.0
261,main_green,main_green,53,233.0,9.032200743484163,13,2,2,0.0,2.0,12.0,20.0
262,main_green,main_green,52,246.0,9.06652902441278,13,2,2,0.0,2.0,12.0,20.0
263,main_green,main_green,53,260.0,9.013225944051428,15,2,2,0.0,2.0,12.0,20.0
264,main_green,main_green,58,274.0,8.330588646197294,19,2,2,0.0,4.0,14.0,22.0
265,main_green,main_green,58,288.0,8.616303596238946,14,2,2,0.0,4.0,14.0,22.0
266,main_green,main_green,58,302.0,8.828989151672594,14,2,2,0.0,4.0,14.0,22.0
267,main_green,main_green,58,316.0,8.917555261073321,14,2,2,0.0,4.0,14.0,22.0
268,main_green,main_green,60,330.0,8.639919422595398,16,2,2,0.0,4.0,14.0,22.0
269,main_green,main_green,59,344.0,8.65628114404449,14,2,2,0.0,4.0,14.0,22.0
270,main_green,main_green,58,358.0,8.606429473945612,14,2,2,0.0,4.0,14.0,22.0
271,main_green,main_green,57,373.0,8.556074684633547,15,2,2,0.0,4.0,14.0,22.0
272,main_green,main_green,57,390.0,8.388056668037112,18,2,2,0.0,4.0,14.0,22.0
273,main_green,main_green,58,408.0,8.248659590888904,19,2,2,0.0,4.0,14.0,22.0
274,yellow_transition,yellow_transition,58,426.0,8.342254406387603,18,3,3,10.0,12.0,12.0,8.0
275,yellow_transition,yellow_transition,58,444.0,8.392623092829046,18,3,3,10.0,12.0,12.0,8.0
276,yellow_transition,yellow_transition,62,462.0,7.525843757164639,23,3,3,10.0,12.0,12.0,8.0
277,main_green,side_green,61,291.0,7.696614114032665,14,2,0,10.0,12.0,12.0,8.0
278,main_green,side_green,62,211.0,8.029967276953586,12,2,0,10.0,12.0,12.0,8.0
279,main_green,side_green,62,205.0,8.435203720769513,9,2,0,10.0,12.0,12.0,8.0
280,main_green,side_green,63,214.0,8.552654430657975,10,2,0,10.0,12.0,12.0,8.0
281,main_green,side_green,63,224.0,8.860418808098693,10,2,0,10.0,12.0,12.0,8.0
282,main_green,side_green,62,234.0,9.229699954639491,10,2,0,10.0,12.0,12.0,8.0
